Id,Precinct,For,Against,Totals,TabName,CountyOBJECTID,Cnty_Name,Cnty_No,CountyFIPS
461,01-24,787,184,971,Douglas,28,Douglas,28,55
462,01-25,639,197,836,Douglas,28,Douglas,28,55
463,01-26,825,92,917,Douglas,28,Douglas,28,55
464,01-27,759,199,958,Douglas,28,Douglas,28,55
465,01-28,767,241,1008,Douglas,28,Douglas,28,55
466,01-29,723,226,949,Douglas,28,Douglas,28,55
467,01-30,831,242,1073,Douglas,28,Douglas,28,55
468,01-31,967,264,1231,Douglas,28,Douglas,28,55
469,02-01,596,204,800,Douglas,28,Douglas,28,55
470,02-02,642,215,857,Douglas,28,Douglas,28,55
471,02-03,863,258,1121,Douglas,28,Douglas,28,55
472,02-04,499,162,661,Douglas,28,Douglas,28,55
473,02-05,431,138,569,Douglas,28,Douglas,28,55
474,02-06,493,167,660,Douglas,28,Douglas,28,55
475,02-07,504,158,662,Douglas,28,Douglas,28,55
476,02-08,505,146,651,Douglas,28,Douglas,28,55
477,02-09,529,171,700,Douglas,28,Douglas,28,55
478,02-10,481,179,660,Douglas,28,Douglas,28,55
479,02-11,722,174,896,Douglas,28,Douglas,28,55
480,02-12,772,233,1005,Douglas,28,Douglas,28,55
481,02-13,419,138,557,Douglas,28,Douglas,28,55
482,02-14,802,205,1007,Douglas,28,Douglas,28,55
483,02-15,771,189,960,Douglas,28,Douglas,28,55
484,02-16,570,147,717,Douglas,28,Douglas,28,55
485,02-17,661,186,847,Douglas,28,Douglas,28,55
486,02-18,346,49,395,Douglas,28,Douglas,28,55
487,02-19,522,157,679,Douglas,28,Douglas,28,55
488,02-20,474,141,615,Douglas,28,Douglas,28,55
489,02-21,504,135,639,Douglas,28,Douglas,28,55
490,02-22,412,134,546,Douglas,28,Douglas,28,55
491,02-23,523,157,680,Douglas,28,Douglas,28,55
492,02-24,657,198,855,Douglas,28,Douglas,28,55
493,02-25,847,226,1073,Douglas,28,Douglas,28,55
494,03-02,949,157,1106,Douglas,28,Douglas,28,55
495,03-03,1037,149,1186,Douglas,28,Douglas,28,55
496,03-04,489,79,568,Douglas,28,Douglas,28,55
497,03-05,825,177,1002,Douglas,28,Douglas,28,55
498,03-06,793,180,973,Douglas,28,Douglas,28,55
499,03-07,1221,154,1375,Douglas,28,Douglas,28,55
500,03-08,906,183,1089,Douglas,28,Douglas,28,55
501,03-09,1126,234,1360,Douglas,28,Douglas,28,55
502,03-10,528,112,640,Douglas,28,Douglas,28,55
503,03-11,385,130,515,Douglas,28,Douglas,28,55
504,03-12,755,181,936,Douglas,28,Douglas,28,55
505,03-13,795,193,988,Douglas,28,Douglas,28,55
506,03-14,942,241,1183,Douglas,28,Douglas,28,55
507,03-15,1075,194,1269,Douglas,28,Douglas,28,55
